"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile trimester","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","_T","Nationwide total","_T","Total",55.2893064183412,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","_T","Nationwide total","M","Male",66.0479980641889,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","_T","Nationwide total","F","Female",44.8485056580548,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL15","Region of Arica y Parinacota","_T","Total",56.9722630982015,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL15","Region of Arica y Parinacota","M","Male",66.3217256707453,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL15","Region of Arica y Parinacota","F","Female",49.0606577106327,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL01","Region of Tarapacá","_T","Total",55.8280951896942,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL01","Region of Tarapacá","M","Male",63.339982703953,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL01","Region of Tarapacá","F","Female",47.4629449617544,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL02","Region of Antofagasta","_T","Total",56.7976746860831,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL02","Region of Antofagasta","M","Male",68.6094743115921,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL02","Region of Antofagasta","F","Female",43.7972641508184,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL03","Region of Atacama","_T","Total",56.954412172886,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL03","Region of Atacama","M","Male",68.3998928123797,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL03","Region of Atacama","F","Female",45.0201438627452,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL04","Region of Coquimbo","_T","Total",53.7750974990586,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL04","Region of Coquimbo","M","Male",64.7601423386875,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL04","Region of Coquimbo","F","Female",43.1470032432418,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL05","Region of Valparaíso","_T","Total",52.8427131651127,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL05","Region of Valparaíso","M","Male",63.8380975432728,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL05","Region of Valparaíso","F","Female",42.3360724264834,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL13","Region Metropolitana de Santiago","_T","Total",57.7949028687634,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL13","Region Metropolitana de Santiago","M","Male",67.9718270821174,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL13","Region Metropolitana de Santiago","F","Female",48.2968009988861,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",52.9665171056537,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",64.6049798800216,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",41.0872233738793,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL07","Region of Maule","_T","Total",52.0099509186634,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL07","Region of Maule","M","Male",65.0033799005253,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL07","Region of Maule","F","Female",39.3456172483988,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL16","Region of Ñuble","_T","Total",51.4075278205957,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL16","Region of Ñuble","M","Male",64.1964282317922,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL16","Region of Ñuble","F","Female",38.9985777617229,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL08","Region of Biobío","_T","Total",50.3716756873232,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL08","Region of Biobío","M","Male",60.4814791394375,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL08","Region of Biobío","F","Female",40.4251745690888,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL09","Region of La Araucanía","_T","Total",53.7123830199884,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL09","Region of La Araucanía","M","Male",64.6739317564619,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL09","Region of La Araucanía","F","Female",43.125461861369,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL14","Region of Los Ríos","_T","Total",56.7222695757125,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL14","Region of Los Ríos","M","Male",67.7248338833141,,
"ENE_TO","Employment rate (2002-based projections)","2018-V06","2018 may-jul","CHL14","Region of Los Ríos","F","Female",46.0129711270898,,
