"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile Quarter","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","_T","Nationwide total","_T","Total",7613.82023708946,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","_T","Nationwide total","M","Male",4633.88819525349,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","_T","Nationwide total","F","Female",2979.93204183598,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL15","Region of Arica y Parinacota","_T","Total",87.31005540627,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL15","Region of Arica y Parinacota","M","Male",50.0270548037798,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL15","Region of Arica y Parinacota","F","Female",37.28300060249,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL01","Region of Tarapacá","_T","Total",154.38165677195,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL01","Region of Tarapacá","M","Male",94.1800900101101,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL01","Region of Tarapacá","F","Female",60.2015667618398,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL02","Region of Antofagasta","_T","Total",261.399034579879,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL02","Region of Antofagasta","M","Male",173.25528382684,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL02","Region of Antofagasta","F","Female",88.1437507530398,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL03","Region of Atacama","_T","Total",122.77159092005,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL03","Region of Atacama","M","Male",81.6066962685602,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL03","Region of Atacama","F","Female",41.1648946514899,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL04","Region of Coquimbo","_T","Total",306.274069427451,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL04","Region of Coquimbo","M","Male",191.45939939884,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL04","Region of Coquimbo","F","Female",114.81467002861,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL05","Region of Valparaíso","_T","Total",777.378139213277,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL05","Region of Valparaíso","M","Male",464.018550005829,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL05","Region of Valparaíso","F","Female",313.35958920745,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL13","Region Metropolitana de Santiago","_T","Total",3181.30632992512,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL13","Region Metropolitana de Santiago","M","Male",1861.90143456322,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL13","Region Metropolitana de Santiago","F","Female",1319.4048953619,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",379.13050006791,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",242.83448109033,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",136.296018977579,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL07","Region of Maule","_T","Total",422.518099785241,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL07","Region of Maule","M","Male",266.6553221165,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL07","Region of Maule","F","Female",155.86277766874,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL16","Region of Ñuble","_T","Total",190.75127701253,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL16","Region of Ñuble","M","Male",120.9063381287,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL16","Region of Ñuble","F","Female",69.84493888383,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL08","Region of Biobío","_T","Total",670.74881967235,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL08","Region of Biobío","M","Male",417.730699374021,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL08","Region of Biobío","F","Female",253.018120298331,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL09","Region of La Araucanía","_T","Total",413.96361233336,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL09","Region of La Araucanía","M","Male",259.68615419879,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL09","Region of La Araucanía","F","Female",154.27745813457,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL14","Region of Los Ríos","_T","Total",160.1237382185,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL14","Region of Los Ríos","M","Male",98.3290130922799,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL14","Region of Los Ríos","F","Female",61.7947251262199,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL10","Region of Los Lagos","_T","Total",365.488490698099,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL10","Region of Los Lagos","M","Male",232.353026293759,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL10","Region of Los Lagos","F","Female",133.13546440434,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","_T","Total",49.4597123417802,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","M","Male",31.54525341214,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","F","Female",17.91445892964,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL12","Region of Magallanes y La Antártica Chilena","_T","Total",70.8151107156599,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL12","Region of Magallanes y La Antártica Chilena","M","Male",47.3993986698,,
"ENE_FDT","Labour force (2002-based projections)","2010-V02","2010 jan-mar","CHL12","Region of Magallanes y La Antártica Chilena","F","Female",23.41571204586,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","_T","Nationwide total","_T","Total",7625.80476336469,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","_T","Nationwide total","M","Male",4636.86837235548,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","_T","Nationwide total","F","Female",2988.93639100921,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL15","Region of Arica y Parinacota","_T","Total",86.8922098953898,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL15","Region of Arica y Parinacota","M","Male",49.7776453212802,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL15","Region of Arica y Parinacota","F","Female",37.1145645741099,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL01","Region of Tarapacá","_T","Total",156.329351699771,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL01","Region of Tarapacá","M","Male",94.4691870487101,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL01","Region of Tarapacá","F","Female",61.86016465106,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL02","Region of Antofagasta","_T","Total",264.887454808751,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL02","Region of Antofagasta","M","Male",171.54072757428,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL02","Region of Antofagasta","F","Female",93.34672723447,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL03","Region of Atacama","_T","Total",122.59483219028,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL03","Region of Atacama","M","Male",81.2005199655499,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL03","Region of Atacama","F","Female",41.39431222473,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL04","Region of Coquimbo","_T","Total",302.44206553031,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL04","Region of Coquimbo","M","Male",191.10355098756,,
